Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
STORNOWAY,STORNOWAY,SY337,COMRADE,A11466,41015,SCOTTISH FISHERMENS ORGANISATION,16.65,64,275.11,216.207,1972,W,GBR,N,Y
STORNOWAY,CARRADALE,SY378,WANDERER II,A12875,40269,SCOTTISH FISHERMENS ORGANISATION,16.76,37,215,185.075,1972,W,GBR,N,Y
STORNOWAY,SOUTH HARRIS,SY144,LEAD US,A12103,44350,SCOTTISH FISHERMENS ORGANISATION,16.79,43,273,212.341,1972,W,GBR,Y,N
STORNOWAY,STORNOWAY,SY190,SHARON ROSE,A10859,44143,SCOTTISH FISHERMENS ORGANISATION,16.92,75,273,218.786,1979,S,GBR,N,N
STORNOWAY,STORNOWAY,CY190,BOY DARREN,A10383,44053,SCOTTISH FISHERMENS ORGANISATION,17.02,54,244,202.729,1974,W,GBR,N,N
STORNOWAY,STORNOWAY,SY7,SHEIGRA,A13682,44180,ORKNEY FPO LTD,17.04,43,131,152.67,1971,W,GBR,N,N
STORNOWAY,STORNOWAY,CY77,BRIGHTER MORN,A13679,44597,SCOTTISH FISHERMENS ORGANISATION,17.07,52,186.5,180.2,1976,W,GBR,N,N
STORNOWAY,STORNOWAY,CY701,JOANNA,A10749,44134,SCOTTISH FISHERMENS ORGANISATION,17.16,76,231,199.703,1980,W,GBR,N,N
STORNOWAY,KINLOCHBERVIE,SY21,KAYLANA,A13171,44086,SCOTTISH FISHERMENS ORGANISATION,17.26,64,211,192.296,1978,W,GBR,N,N
STORNOWAY,STORNOWAY,SY47,HEATHER ISLE M,A10778,40956,SCOTTISH FISHERMENS ORGANISATION,17.65,56,171,175.79,1966,W,GBS,N,Y
STORNOWAY,STORNOWAY,BCK625,KELLY,A10679,40065,NON-SECTOR,18.17,84,403,295.458,1982,W,GBR,N,Y
STORNOWAY,STORNOWAY,SY70,SINCERITY,A10165,44021,SCOTTISH FISHERMENS ORGANISATION,18.62,69.79,247.37,224.898,1971,W,GBR,N,N
STORNOWAY,STORNOWAY,SY85,SIARACH III,C16798,70944,NON-SECTOR,19.45,70,209.7,201.535,1986,S,DEU,N,Y
STORNOWAY,STORNOWAY,CY34,AQUARIUS,A10109,44012,SCOTTISH FISHERMENS ORGANISATION,19.84,92,317,262.484,1974,W,GBR,N,N
STORNOWAY,STORNOWAY,SY153,ASTRA III,A10879,41258,SCOTTISH FISHERMENS ORGANISATION,22.44,134.94,289,289.15,1981,W,GBS,N,N
ULLAPOOL,ULLAPOOL,UL137,HARMONY,A13728,40907,NON-SECTOR,10.47,11.97,89,80.569,1974,W,GBR,Y,N
ULLAPOOL,ULLAPOOL,INS64,BOY DAVID,B10511,44786,NON-SECTOR,10.7,6.87,89,77.072,1989,F,GBR,Y,N
ULLAPOOL,ULLAPOOL,UL25,WALRUS,B11230,11711,NON-SECTOR,10.86,10.88,112,96.012,1989,S,GBR,Y,N
ULLAPOOL,ULLAPOOL,UL554,AUK,C17300,11443,NON-SECTOR,11.02,8.03,131,98.842,1980,F,GBR,N,N
ULLAPOOL,ULLAPOOL,FR444,ZEPHYR,A11637,44281,NON-SECTOR,11.15,16.8,111,96.222,1982,W,GBR,Y,N
ULLAPOOL,ULLAPOOL,CY97,BARNACLE III,A11278,44198,WEST OF SCOTLAND FPO LTD,11.35,12.69,94,89.062,1985,F,GBR,N,N
ULLAPOOL,ULLAPOOL,UL584,LADY NICOLA,C19830,40454,NON-SECTOR,11.39,15.33,164,121.41,1989,F,GBR,N,N
ULLAPOOL,ULLAPOOL,LH37,AZALEA,A12255,10309,SCOTTISH FISHERMENS ORGANISATION,11.49,15.06,90,90.941,1968,W,GBR,N,N
ULLAPOOL,ULLAPOOL,K7,BELINDA II,A11843,44343,NORTHERN IRELAND FPO LTD,11.6,13.92,94,90.092,1981,F,GBR,N,Y
ULLAPOOL,ULLAPOOL,UL1,ONWARD,B10067,40995,SCOTTISH FISHERMENS ORGANISATION,11.62,16.74,149.2,119.198,1988,F,GBR,Y,Y
ULLAPOOL,ULLAPOOL,UL573,MAIRI ANNA,C19154,41645,WEST OF SCOTLAND FPO LTD,11.83,13.89,273.14,184.429,2007,F,,Y,N
ULLAPOOL,GAIRLOCH,SY132,SEALGAIR MARA,A13462,40313,WEST OF SCOTLAND FPO LTD,11.89,8.77,195,131.981,1984,F,GBR,N,N
ULLAPOOL,ULLAPOOL,UL27,CHALLENGER,A13805,40875,SCOTTISH FISHERMENS ORGANISATION,12.5,18.25,134,116.3,1985,C,GBR,Y,N
ULLAPOOL,ULLAPOOL,UL595,COURAGE,C20423,41687,NON-SECTOR,12.9,18.86,147,120.33,1980,S,SWE,N,N
