Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
PLYMOUTH,ILFRACOMBE,BD277,OUR OLIVIA BELLE,C18597,11956,CORNISH FPO LTD,14.95,73.35,358,254.089,2005,S,GBR,N,N
PLYMOUTH,SALCOMBE,DH95,TENACIOUS,A16357,10380,NON-SECTOR,14.97,31.72,131,136.495,1975,W,GBR,Y,N
PLYMOUTH,PLYMOUTH,BD1,GUIDING LIGHT III,C18270,12502,CORNISH FPO LTD,14.98,48.02,221,189.03,2005,S,GBR,N,N
PLYMOUTH,PLYMOUTH,PZ660,NICOLA MAY,C20457,12399,INTERFISH,14.98,26.65,158,143.004,1969,W,FRA,N,N
PLYMOUTH,PLYMOUTH,PH97,STELLA MARIS OF NEWQUAY,A12976,40277,NON-SECTOR,14.99,40.73,134,141.246,1968,W,GBR,N,Y
PLYMOUTH,JERSEY,J189,PROSPECTOR,J10073,50281,ANGLO-NORTH IRISH FPO LTD,16.95,48.73,221,192.167,1974,U,GBS,N,Y
PLYMOUTH,TEIGNMOUTH,J612,LA VAGABONDE DES MERS,G10014,11547,NON-SECTOR,17.68,62.97,335.7,254.67,1969,W,FRA,Y,N
PLYMOUTH,PLYMOUTH,GU199,PEADAR MARIE,G00563,40520,NON-SECTOR,18.35,89.18,317,254.952,1992,U,NLD,Y,N
PLYMOUTH,SALCOMBE,SE101,EMMA JANE,B11100,11362,NON-SECTOR,18.35,122,317,254.952,1989,S,NLD,Y,N
PLYMOUTH,SALCOMBE,SE34,PEN GLAS,A22552,11025,NON-SECTOR,18.4,62,216,211.28,1960,W,FRA,Y,N
PLYMOUTH,SHOREHAM,J158,L'ECUME II,J10032,12030,SOUTH WESTERN FPO LTD,18.54,65.76,220,207.83,1968,U,FRA,N,N
PLYMOUTH,JERSEY,J154,CORENTINE,J10024,11591,NON-SECTOR,19.12,78.35,209,212.403,1955,U,FRA,Y,N
PLYMOUTH,JERSEY,J86,FLEUR DE FRANCE,J10022,12503,NON-SECTOR,19.13,82.98,235,225.313,1976,U,FRA,Y,N
PLYMOUTH,NEWLYN,E22,JOY OF LADRAM,C20364,12346,CORNISH FPO LTD,20.4,109,405,318.93,1988,S,FRA,Y,N
PLYMOUTH,PLYMOUTH,PH440,ADMIRAL BLAKE,B10536,11293,INTERFISH,22.2,136,220,248.184,1989,S,NLD,N,N
PLYMOUTH,PLYMOUTH,PH330,ADMIRAL GORDON,B10214,11260,INTERFISH,22.21,137,220,248.251,1988,S,NLD,N,N
PLYMOUTH,PLYMOUTH,PZ51,GOVENEK OF LADRAM,A13184,12032,CORNISH FPO LTD,22.65,198,384,330.897,1986,W,GBR,Y,N
PLYMOUTH,PLYMOUTH,PH550,ADMIRAL GRENVILLE,C17302,11856,INTERFISH,23.97,152,220,263.434,2001,S,NLD,N,N
PLYMOUTH,PLYMOUTH,PZ66,SAPPHIRE,A16697,12405,NON-SECTOR,25.05,91,369,316.851,1958,S,NLD,N,Y
PLYMOUTH,DARTMOUTH,DH100,EDWARD HENRY,C17553,11869,NON-SECTOR,25.5,279,637.38,491.331,2002,S,ESP,Y,N
PLYMOUTH,PLYMOUTH,E88,LADY OF LADRAM,C18598,11893,SOUTH WESTERN FPO LTD,28,186,738,528.1,1974,S,NLD,N,Y
PLYMOUTH,MARIN,FH707,SUSA UNO,C17795,11797,WALES AND WEST COAST FPO LTD,32.1,287,720,580.8,2003,S,ESP,N,N
PLYMOUTH,MARIN,FH535,GONPEZ I,C17812,11877,WALES AND WEST COAST FPO LTD,32.2,271,535,488.69,2003,S,ESP,N,N
PLYMOUTH,MARIN,FH713,SPICA,C17870,11732,WALES AND WEST COAST FPO LTD,34.6,320,531,526.13,2002,S,ESP,N,N
PLYMOUTH,VIGO,FH725,MANUEL LAURA,C18281,10285,WALES AND WEST COAST FPO LTD,36,338,721,612.45,2004,S,ESP,N,N
PLYMOUTH,PLYMOUTH,PH1100,WIRON 5,C20514,12480,INTERFISH,50.63,1230,2191,1573.258,2002,S,,N,N
PLYMOUTH,PLYMOUTH,PH2200,WIRON 6,C20515,12481,INTERFISH,50.63,1230,2191,1573.258,2002,S,,N,N
POOLE,POOLE,FE3,RELENTLESS II,C19079,12299,NON-SECTOR,10.13,9.71,209,146.726,2007,F,GBR,Y,N
POOLE,PORTSMOUTH,P987,JENNY G,C17441,11866,NON-SECTOR,10.27,9.11,294,173.38,2001,F,GBR,Y,N
POOLE,LULWORTH COVE,E262,LUCKY SEVEN,A16559,10394,NON-SECTOR,10.29,8.68,82.06,77.058,1979,W,GBR,Y,N
POOLE,PORTSMOUTH,SU233,ANGELLE MARIE,A23364,11104,NON-SECTOR,10.42,6.2,158,110.175,1974,F,GBS,Y,N
